UM10-10 Brogo Granodiorite Apatite Confined Lengths,,,,,,,,
,,,,,,,,
Length Name,Length Number,Apparent Length,Corrected Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C
Length52,2,8.98,0.49,8.99,85.44,3.13,0.71,85.45
Length53,1,14.68,0,14.68,71.9,0,4.56,71.90
Length53,2,12.34,2.94,12.68,26.86,13.41,11.01,29.75
Length54,1,12.61,3.43,13.07,57.5,15.22,6.78,58.78
Length54,2,9.83,0.49,9.84,9.32,2.85,9.70,9.67
Length55,1,10.6,0.49,10.61,80.21,2.65,1.80,80.22
Length55,2,10.01,6.86,12.14,59.81,34.43,5.03,65.50
Length56,1,13.43,0.49,13.44,64.71,2.09,5.74,64.73
Length56,2,8.3,0,8.3,31.97,0,7.04,31.97
Length57,1,12.61,3.43,13.07,62.83,15.22,5.76,63.86
Length58,1,10.68,0.49,10.69,44.94,2.63,7.56,44.99
Length59,1,13.11,0.49,13.12,75.17,2.14,3.36,75.18
Length60,1,13.14,2.94,13.47,78.07,12.61,2.72,78.37
Length60,2,3.33,3.43,4.78,61.49,45.87,1.59,70.58
Length61,1,12.68,4.41,13.43,76.16,19.18,3.03,76.95
Length62,1,12.14,0.49,12.15,84.68,2.31,1.13,84.68
Length63,1,12.86,0,12.86,68.75,0,4.66,68.75
Length63,2,8.92,1.96,9.14,28.44,12.39,7.84,30.89
Length64,1,11.86,0,11.86,77.69,0,2.53,77.69
Length65,1,14.78,0.98,14.81,63.37,3.8,6.62,63.43
Length66,1,10.29,0.49,10.3,15.21,2.73,9.93,15.41
Length68,1,14.04,3.43,14.45,51.71,13.74,8.70,52.98
Length69,1,14.16,0.49,14.16,25.42,1.98,12.79,25.42
Length70,1,10.47,0.98,10.52,33.8,5.35,8.70,34.20
Length71,1,12.73,2.45,12.97,61.21,10.89,6.13,61.79
Length72,1,14.79,0,14.79,36.6,0,11.87,36.60
Length72,2,8.43,0.49,8.44,60.47,3.33,4.15,60.51
Length73,1,14.2,1.96,14.34,47.86,7.86,9.53,48.36
Length74,1,14.06,0.49,14.07,48.08,2,9.39,48.12
Length75,1,14.2,0,14.2,29.67,0,12.34,29.67
Length76,1,11.47,1.47,11.57,76.29,7.3,2.72,76.41
Length77,1,12.42,2.94,12.76,81.35,13.33,1.87,81.58
Length77,2,7.07,0.49,7.09,87.03,3.96,0.37,87.04
Length77b,1,12.57,3.43,13.03,82.41,15.27,1.66,82.68
Length78,1,7.5,0.98,7.56,53.95,7.45,4.41,54.28
Length79,1,6.01,0.49,6.03,50.16,4.66,3.85,50.32
Length80,1,10.12,0,10.12,8.91,0,10.00,8.91
Length81,1,13.01,0.49,13.02,68.89,2.16,4.69,68.91
Length82,1,11.58,2.45,11.84,79.27,11.95,2.16,79.51
Length83,1,7.5,0.49,7.51,77.22,3.74,1.66,77.24
Length84,1,5.59,0.49,5.61,87.36,5.01,0.26,87.37
Length85,1,7.54,0.49,7.56,86.09,3.72,0.51,86.10
Length86,1,11.53,0.49,11.54,70.31,2.43,3.88,70.33
Length86,2,2.42,0.98,2.61,59.15,22.04,1.24,61.61
Length87,1,10.58,2.94,10.98,2.59,15.53,10.57,15.72
Length88,1,14.43,1.96,14.56,89.78,7.74,0.06,89.78
Length88,2,4.29,0,4.29,58.44,0,2.25,58.44
Length89,1,12.25,0,12.25,55.98,0,6.85,55.98
Length90,1,14.33,1.47,14.4,60.62,5.86,7.03,60.78
Length90,2,13.59,0.49,13.6,65.61,2.07,5.61,65.63
Length91,1,11.04,4.9,12.08,75.42,23.95,2.78,76.70
Length91,2,7.92,4.41,9.07,30.14,29.12,6.85,40.96
Length92,1,3.67,0,3.67,63.74,0,1.62,63.74
Length93,1,9.49,0.49,9.5,36.33,2.96,7.65,36.41
Length94,1,14.49,0,14.49,75.85,0,3.54,75.85
Length95,1,12.99,0.49,13,85.95,2.16,0.92,85.95
Length97,1,9.69,2.45,9.99,24.36,14.2,8.83,27.92
Length98,1,12.91,0.49,12.92,77.86,2.18,2.71,77.87
Length98,2,3.45,0.49,3.48,73.12,8.09,1.00,73.27
Length99,1,5.95,0.49,5.97,44.87,4.71,4.22,45.06
Length100,1,12.49,1.47,12.57,90,6.72,0.00,90.00
Length101,1,12.72,0.49,12.73,76.81,2.21,2.90,76.82
