Length.Name,Length.Number,Apparent.Length,Corrected.Z.Depth,True.Length,Azimuth,Dip,Angle.to.CAxis
Length62f,7,4.32,7.35,8.53,47.14,59.56,69.84
Length62f,8,4.98,2.45,5.55,67.14,26.22,69.61
Length62f,9,3.51,6.86,7.71,20.14,62.88,64.66
Length62f,10,11.18,4.41,12.02,52.44,21.54,55.46
Length62f,11,2.07,1.47,2.54,83.29,35.38,84.53
Length62f,12,2.01,1.47,2.49,64.08,36.25,69.36
Length62f,13,1.98,1.47,2.46,78.83,36.66,81.06
Length62g,1,14.08,3.92,14.61,23.55,15.57,27.98
Length62g,2,3.67,6.86,7.78,17.92,61.88,63.36
Length62g,3,8.3,3.43,8.98,36.73,22.46,42.21
Length62g,4,8.7,6.37,10.78,24.95,36.23,43
Length62g,5,8.64,3.92,9.49,59.5,24.41,62.47
Length62g,6,11.07,6.86,13.02,78.6,31.8,80.33
Length62g,7,11.3,3.92,11.96,52.95,19.14,55.31
Length63,1,2.16,0.65,2.25,33.99,16.87,37.49
Length63,2,4.79,2.78,5.54,36.07,30.1,45.63
Length63,3,9.11,1.8,9.29,3.65,11.16,11.73
Length63,4,5.15,1.8,5.46,69.59,19.23,70.78
Length63,5,7.7,6.21,9.89,81.28,38.89,83.22
Length63,6,8.15,5.72,9.95,33.03,35.07,46.67
Length63,7,2.35,1.31,2.69,46.05,29.08,52.66
Length63,8,5.74,5.23,7.76,19.83,42.33,45.94
Length63,9,6.45,0.82,6.51,0.32,7.21,7.22
Length63,10,1.84,1.8,2.57,61.53,44.37,70.08
Length63,11,2.71,1.8,3.25,69.44,33.54,72.98
Length63b,1,10.7,6.7,12.63,86.4,32.04,86.95
Length63b,2,12.84,4.9,13.74,50.58,20.89,53.61
Length63b,3,2.61,1.47,3,18.02,29.38,34.04
Length63b,4,7.29,4.9,8.78,18.81,33.93,38.24
Length63b,5,1.15,0.98,1.51,63.08,40.49,69.86
Length63b,6,5.66,0.49,5.68,3.3,4.95,5.95
Length63c,1,1.57,0.16,1.58,46.31,5.93,46.6
Length63c,2,4.2,1.31,4.4,74.72,17.3,75.43
Length63c,3,14.05,5.72,15.17,86.49,22.14,86.75
Length63c,4,5.4,0.16,5.4,4.49,1.73,4.81
Length63c,5,3.74,3.43,5.08,54.31,42.54,64.54
Length64,1,1.52,3.43,3.75,63.2,66.05,79.45
Length64,2,5.8,5.39,7.92,16.63,42.92,45.44
Length64,3,10,2.94,10.43,14.87,16.38,21.99
Length64,4,4.34,2.94,5.25,35.71,34.1,47.75
Length64,5,2.2,0.49,2.26,53.8,12.55,54.8
Length65,1,4.74,0.33,4.75,33.53,3.94,33.73
Length65,2,3.04,1.31,3.31,11.82,23.27,25.95
Length65,3,6.32,2.45,6.78,43.97,21.2,47.86
Length65,4,11.55,7.84,13.96,18.53,34.17,38.33
Length65,5,4.87,1.31,5.04,1.19,15.02,15.07
Length65,6,2.53,1.31,2.84,20.57,27.35,33.74
Length65,7,3.83,3.43,5.15,83.86,41.82,85.42
Length65,8,1.3,1.96,2.35,72.42,56.42,80.38
Length66,1,3.27,1.47,3.59,46.29,24.2,50.93
Length66,2,1.66,0,1.66,60.4,0,60.4
Length67,1,4.3,6.37,7.69,48.06,55.97,68.03
Length67,2,4.36,1.96,4.78,58.51,24.21,61.55
Length67,3,2.04,0.98,2.26,64.33,25.7,67.02
Length67,4,7.24,0.98,7.3,1.12,7.72,7.8
Length67,5,7.89,4.41,9.04,40.54,29.21,48.45
Length67b,1,2.73,3.43,4.39,43.8,51.45,63.27
Length67b,2,4.15,3.43,5.39,86.08,39.56,86.98
Length67b,3,9.06,5.88,10.8,31.12,32.99,44.11
Length67b,4,10.52,6.86,12.56,58.11,33.13,63.74
Length67b,5,6.47,3.92,7.57,89.87,31.21,89.88
Length67b,6,3.2,0.49,3.23,22.29,8.72,23.85
Length67b,7,4.73,2.94,5.57,10.74,31.85,33.43
Length67b,8,7.14,5.88,9.25,12.68,39.49,41.15
Length67c,1,6.62,0.49,6.63,46.18,4.24,46.33
Length67c,2,7.04,1.96,7.31,38.27,15.56,40.86
Length67c,3,7.25,0.49,7.27,75.17,3.87,75.2
Length67c,4,4.64,0,4.64,48.86,0,48.86
Length67c,5,4.41,0.49,4.44,11.06,6.34,12.73
Length67c,6,2.49,0,2.49,58.74,0,58.74
Length67c,7,7.23,4.41,8.47,83.35,31.4,84.33
Length67c,8,9.72,6.37,11.62,0.6,33.26,33.27
Length67c,9,8.12,3.92,9.02,29.69,25.77,38.53
Length67c,10,2.64,0.49,2.69,13.21,10.51,16.82
Length67c,11,1.05,0,1.05,77.17,0,77.17
Length68,1,2.38,3.43,4.18,9.63,55.26,55.82
Length68,2,2.11,0.98,2.33,85.91,24.91,86.3
Length68,3,5.93,4.41,7.39,7.22,36.63,37.24
Length68,4,6.61,2.94,7.24,16.13,23.97,28.63
Length68,5,2.7,0,2.7,87.17,0,87.17
Length68c,1,8.67,5.39,10.21,57.84,31.87,63.12
Length68c,2,5.33,2.45,5.86,66.22,24.71,68.51
Length68c,3,7.1,6.86,9.87,83.73,44.04,85.5
Length68c,4,2.57,2.45,3.55,1.05,43.67,43.68
Length69,1,2.33,0.49,2.39,22.51,11.86,25.3
Length69,2,1.24,0.49,1.34,56.67,21.54,59.26
Length69,3,4.69,0.98,4.79,82.86,11.81,83.01
Length69,4,1.42,0,1.42,70.71,0,70.71
Length69,5,5,1.47,5.21,26.99,16.39,31.26
Length69,6,2.56,1.47,2.95,47.37,29.87,54.03
Length69,7,1.49,1.47,2.09,34.87,44.7,54.32
Length69,8,10.15,4.41,11.06,37.62,23.5,43.42
Length69,9,4.14,2.45,4.81,3.54,30.63,30.81
Length69b,1,9.11,3.27,9.68,57.1,19.74,59.26
Length69b,2,3.13,0.98,3.28,55.37,17.41,57.16
Length69b,3,9.43,7.84,12.26,69.7,39.76,74.53
Length69b,4,4,4.9,6.33,48.32,50.78,65.14
Length69b,5,1.57,2.45,2.91,62.14,57.28,75.37
Length69b,6,3.58,3.92,5.31,14.2,47.62,49.19
Length70,1,5.32,2.94,6.08,20,28.95,34.69
Length70,2,5.47,8.33,9.97,26.21,56.74,60.53
Length70,3,6.64,7.84,10.27,75.81,49.76,80.89
Length70,4,2.71,2.45,3.65,88.41,42.17,88.82
Length70,5,4.78,2.45,5.37,61.6,27.14,64.95
Length70,6,2.93,1.47,3.28,62.76,26.67,65.86
Length70,7,6.19,2.45,6.66,76.91,21.61,77.84
Length70,8,9.62,3.92,10.39,57.7,22.17,60.34
Length70b,1,1.07,1.47,1.82,87.17,53.93,88.33
Length70c,1,9.2,3.43,9.82,51.45,20.44,54.28
Length71,1,5.27,9.31,10.7,49.71,60.52,71.44
Length71,2,2.07,0.98,2.29,71.9,25.34,73.69
Length71,3,10.36,4.41,11.26,17.57,23.06,28.69
Length71,4,11.17,4.9,12.2,12.74,23.69,26.73
Length71b,1,6.67,2.45,7.1,45.86,20.19,49.19
Length71b,2,3.89,1.47,4.16,46.03,20.71,49.5
Length71b,3,1.82,0,1.82,46.61,0,46.61
Length71b,4,7.23,9.31,11.79,56.4,52.17,70.16
Length71b,5,4.39,2.45,5.02,38.06,29.2,46.58
Length71b,6,3.89,5.39,6.65,8.71,54.2,54.68
Length72,1,6.22,4.41,7.62,47.7,35.37,56.71
Length72,2,2.61,0.98,2.79,7.24,20.57,21.76
Length72,3,2.38,0.98,2.58,48.45,22.36,52.16
Length72,4,2.86,1.31,3.15,85.94,24.54,86.3
Length72,5,11.66,1.8,11.8,18.76,8.76,20.64
Length72,6,3.13,2.94,4.29,21.98,43.23,47.5
Length72,7,10.35,8.17,13.19,71.32,38.28,75.44
Length72b,1,4.17,3.43,5.4,82.99,39.46,84.59
Length72b,2,2.59,2.94,3.92,79.77,48.67,83.27
Length72b,3,3.04,7.35,7.96,71.86,67.56,83.18
Length72b,4,1.57,0.98,1.85,85.82,31.93,86.45
Length72c,1,7.07,4.74,8.51,84.63,33.83,85.54
Length72c,2,3.45,1.8,3.89,18.29,27.51,32.64
Length72c,3,9.52,7.19,11.93,41.02,37.07,52.99
Length72c,4,14.35,3.27,14.71,31.94,12.83,34.17
Length72c,5,5.16,5.72,7.7,86.08,47.96,87.38
Length72d,1,4.6,3.92,6.04,73.6,40.47,77.6
Length72d,2,2.74,3.43,4.39,36.87,51.43,60.08
Length72d,3,1.49,0.49,1.57,32.83,18.22,37.05
Length72d,4,3.45,0.49,3.49,82.09,8.09,82.17
Length72d,5,3.86,1.47,4.13,4.83,20.85,21.38
Length72d,6,3.94,0.98,4.06,13.42,13.96,19.27
Length72d,7,5.82,0.49,5.84,2.87,4.82,5.6
Length72d,8,3.17,5.88,6.68,39.85,61.71,68.66
Length72d,9,11.16,4.9,12.19,54.03,23.72,57.47
Length73,1,9.08,0.98,9.13,35.79,6.16,36.24
Length73,2,1.33,0,1.33,35.88,0,35.88
Length73,3,4.75,1.47,4.98,47.68,17.19,49.97
Length73,4,3.32,0.98,3.46,70.01,16.47,70.86
Length73,5,6,6.37,8.75,38.42,46.71,57.5
Length73,6,7.7,2.45,8.08,76.36,17.66,77.02
Length73,7,1.76,3.43,3.85,52.98,62.89,74.08
Length73,8,9.32,2.94,9.77,83.72,17.52,84.01
Length74,1,3.66,0.98,3.79,56.35,15,57.64
Length74,2,4.6,1.96,5,2.41,23.07,23.19
Length74,3,4.91,0.49,4.94,9.12,5.7,10.74
Length74,4,6.89,1.47,7.05,38.06,12.04,39.65
Length74,5,5.42,1.47,5.62,63.86,15.17,64.84
Length74,6,3.02,4.41,5.35,44.63,55.57,66.28
Length74,7,1.79,1.96,2.65,51.86,47.61,65.39
Length74,8,5.59,0.98,5.67,22.32,9.95,24.33
Length74,9,1.42,0.49,1.5,77.75,19.01,78.43
Length74,10,10.28,6.86,12.36,9.43,33.72,34.86
Length74,11,1.74,0.49,1.81,72.57,15.76,73.24
Length74,12,2.03,0.98,2.25,89.2,25.77,89.28
Length74,13,4.96,2.45,5.53,5.58,26.31,26.85
Length74b,1,7.16,9.31,11.74,17.23,52.47,54.42
Length74b,2,3.43,3.92,5.21,17.01,48.86,51.02
Length74b,3,2.77,1.96,3.39,83.7,35.32,84.86
Length74b,4,1.52,0.49,1.6,28.89,17.88,33.56
Length75,1,2.1,0.49,2.16,87.4,13.15,87.47
Length75,2,2.8,1.96,3.42,81.11,35.04,82.73
Length75,3,2.01,4.9,5.3,87.08,67.75,88.9
Length75b,1,5.11,2.94,5.9,62.32,29.92,66.25
Length75b,2,9.44,8.82,12.92,41.99,43.07,57.12
Length75b,3,1.79,0,1.79,15.76,0,15.76
Length75b,4,4.68,0.49,4.7,30.34,5.98,30.87
Length75b,5,7.92,5.39,9.58,55.4,34.25,62
Length75b,6,3.18,1.47,3.5,48.76,24.84,53.25
Length76,1,8.37,0.98,8.43,81.43,6.68,81.49
Length76,2,7.91,7.84,11.14,66.89,44.76,73.82
Length76,3,4.88,1.47,5.1,30.19,16.76,34.14
Length76,4,2.9,0.98,3.06,74.26,18.69,75.11
Length76,5,3.99,1.47,4.25,69.84,20.24,71.13
Length76,6,3.71,0.49,3.74,82.92,7.53,82.99
Length77,1,3.54,0.98,3.67,62.64,15.5,63.71
Length77,2,3.43,0.98,3.56,75.84,15.97,76.4
Length77,3,0.99,0.98,1.39,81.82,44.78,84.2
Length77,4,1.99,0.98,2.22,53.28,26.27,57.58
Length77,5,5.83,1.47,6.01,58.92,14.15,59.96
Length77,6,2.21,1.47,2.66,53.47,33.61,60.28
Length77,7,3.84,1.96,4.31,15.17,27.05,30.73
Length77,8,4.69,2.45,5.29,61.03,27.58,64.58
Length77,9,11.98,7.84,14.32,51.08,33.21,58.29
Length77,10,4,2.45,4.69,56.05,31.48,61.56
Length77,11,2.36,0.98,2.55,64.78,22.6,66.84
Length77,12,5.36,4.41,6.94,25.19,39.45,45.68
Length78,1,5.7,2.94,6.41,67.08,27.29,69.75
Length78,2,2.25,2.45,3.33,69.91,47.41,76.56
Length78,3,1.66,1.96,2.57,46.8,49.77,63.76
Length78,4,3.26,5.39,6.3,23.74,58.87,61.75
Length78,5,3.81,2.45,4.53,15.12,32.78,35.75
Length78,6,3.26,5.39,6.3,66.26,58.87,77.99
Length78b,1,5.8,2.45,6.3,88.52,22.89,88.63
Length78b,2,2.95,1.96,3.54,82.47,33.58,83.73
Length78b,3,2.66,0.98,2.84,43.57,20.21,47.16
Length78b,4,6.74,7.35,9.98,79.86,47.47,83.16
Length78b,5,4.07,3.92,5.65,86.26,43.91,87.3
Length78b,6,2.84,0.98,3.01,37.29,19.01,41.22
Length78b,7,7.66,4.41,8.84,71.03,29.94,73.64
Length78b,8,4.54,2.45,5.16,43.07,28.39,50
Length79,1,1.24,6.37,6.49,69.72,78.95,86.19
Length79,2,2.07,1.47,2.54,36.03,35.39,48.75
Length79,3,3,3.92,4.93,87.57,52.62,88.53
Length79,4,2.73,1.96,3.36,33.25,35.69,47.22
Length79,5,3.46,2.94,4.54,21.68,40.36,44.92
Length79,6,1.55,1.96,2.5,52.04,51.66,67.57
Length79,7,3.56,6.86,7.73,71.57,62.57,81.62
Length79,8,5.35,4.41,6.93,5.94,39.54,39.91
Length79,9,3.49,2.94,4.56,9.97,40.15,41.16
Length80,1,3.08,6.86,7.52,82.59,65.85,86.97
Length80,2,7.14,5.88,9.25,17.3,39.49,42.54
Length80,3,3.09,1.96,3.66,78.54,32.4,80.34
Length80,4,2.36,1.47,2.78,39.88,31.93,49.36
Length80,5,1.11,0.98,1.48,72.5,41.39,76.96
Length80,6,1.8,1.47,2.32,69.77,39.26,74.47
Length80,7,2.83,1.96,3.44,55.27,34.7,62.07
Length80,8,9.89,2.94,10.32,62.33,16.55,63.57
Length80,9,12.31,3.92,12.92,71.94,17.67,72.82
Length80,10,7.65,4.9,9.09,0.79,32.65,32.66
Length80,11,1.67,0.49,1.74,53.31,16.38,55.03
Length80,12,3.15,1.47,3.47,76.24,25.04,77.55
Length80,13,8.3,3.43,8.98,35.45,22.45,41.16
Length80b,1,3.18,0.98,3.33,81.49,17.13,81.87
Length80b,2,9.09,6.37,11.1,25.86,35.04,42.54
Length80b,3,4.21,6.37,7.64,15.06,56.52,57.82
Length80b,4,8.56,7.84,11.61,13.17,42.51,44.13
Length80b,5,4.76,8.82,10.03,10.58,61.64,62.16
Length80b,6,3.61,8.82,9.53,34.31,67.74,71.76
Length80b,7,4.74,5.72,7.43,69.39,50.33,77.02
Length80b,8,1.6,0.49,1.68,52.29,16.98,54.2
Length80b,9,7.02,4.41,8.29,34.78,32.14,45.93
Length80b,10,6.61,3.27,7.37,1.65,26.31,26.35
Length80b,11,4.41,5.39,6.96,27.68,50.73,55.91
Length81,1,2.78,1.47,3.15,75.19,27.87,76.94
Length81,2,6.44,3.92,7.54,27.93,31.32,40.99
Length81,3,5.17,5.88,7.83,46.29,48.68,62.85
Length81,4,3.4,1.47,3.7,80.97,23.4,81.72
Length81,5,3.59,1.47,3.88,52.45,22.29,55.67
Length81,6,9.83,7.84,12.57,79.5,38.59,81.81
Length81,7,2.36,2.45,3.4,22.94,46.08,50.3
Length82,1,7.1,5.88,9.22,20.06,39.63,43.66
Length82,2,3.47,3.43,4.88,28.73,44.66,51.41
Length82,3,7.08,2.94,7.66,33.94,22.57,40
Length82,4,2.71,0.98,2.88,87.5,19.88,87.65
Length83,1,10.51,6.37,12.29,84.21,31.23,85.06
Length83,2,3.53,3.92,5.28,87.14,47.99,88.09
Length83,3,2.7,0.98,2.87,22.92,19.96,30.04
Length83b,1,1.11,0.49,1.21,76.87,23.9,78.02
Length83b,2,2.72,0.49,2.77,71.7,10.21,72
Length83b,3,6.56,2.45,7.01,87.41,20.48,87.58
Length83b,4,7.78,3.43,8.5,78.22,23.81,79.23
Length83b,5,3.54,3.43,4.93,47.38,44.1,60.91
Length83b,6,4.34,3.43,5.54,60,38.3,66.9
Length83b,7,10.41,2.94,10.82,70.61,15.78,71.36
Length83b,8,7.7,3.92,8.64,0.25,26.98,26.98
Length84,1,7.57,6.86,10.22,3.63,42.21,42.33
Length84,2,4.33,0.49,4.36,25.13,6.46,25.89
Length84,3,2.32,0.98,2.52,25.4,22.91,33.69
Length84,4,2.54,0.98,2.73,43.25,21.07,47.18
Length84,5,7.22,4.9,8.73,28.73,34.17,43.49
Length85,1,1.44,0.98,1.74,29.93,34.33,44.3
Length85,2,5.46,2.45,5.98,68.57,24.18,70.53
Length85,3,7.19,2.94,7.77,33.33,22.24,39.34
Length85,4,5.99,5.39,8.06,70.03,41.99,75.3
Length85,5,4.37,1.96,4.79,16.01,24.17,28.72
Length85b,1,8.52,3.43,9.18,47.28,21.95,51.01
Length85b,2,3.9,6.37,7.47,48.86,58.5,69.9
Length85b,3,4.72,1.47,4.95,19.78,17.3,26.04
Length85b,4,1.9,1.47,2.4,24.38,37.76,43.94
Length85b,5,2.69,2.94,3.99,17.33,47.54,49.88
Length85b,6,8.04,3.92,8.95,85.91,25.99,86.32
Length86,1,8.26,4.9,9.6,66.01,30.7,69.54
Length86,2,5.36,5.39,7.6,26.53,45.18,50.9
Length86,3,6.13,4.41,7.55,46.18,35.75,55.81
Length86,4,5.12,8.82,10.2,52.43,59.86,72.17
Length87,1,2.63,0.49,2.67,33.61,10.58,35.05
Length87,2,1.8,0.98,2.05,26.93,28.59,38.47
Length87,3,4.16,2.45,4.83,70.89,30.5,73.62
Length87,4,7.97,6.37,10.21,71.74,38.64,75.83
Length87,5,1.85,0.98,2.1,75.6,27.87,77.3
Length87,6,2.87,0.98,3.04,83.5,18.85,83.85
Length87,7,5.22,1.47,5.42,48.32,15.75,50.2
Length87,8,12.66,3.43,13.11,43.2,15.17,45.28
Length87,9,10.35,2.45,10.63,83.4,13.33,83.58
Length87,10,1.96,1.47,2.45,69.89,36.86,74.03
Length87,11,7.31,1.47,7.45,81.35,11.38,81.52
Length87,12,3.12,5.39,6.23,84.26,59.96,87.13
Length87,13,3.01,6.37,7.05,14.65,64.69,65.57
Length87b,1,5.29,9.31,10.71,74.52,60.41,82.43
Length87b,2,1.36,0,1.36,89.87,0,89.87
Length87b,3,5.59,6.86,8.85,1.82,50.84,50.86
Length87b,4,2.68,1.47,3.06,47.51,28.76,53.69
Length87b,5,3.17,1.47,3.49,42.94,24.92,48.4
Length87b,6,4.72,4.9,6.8,65.28,46.1,73.14
Length87b,7,4.67,3.92,6.1,72.2,40.02,76.46
Length87b,8,2.6,3.92,4.71,37.6,56.45,64.03
Length87b,9,1.27,2.94,3.2,88.76,66.7,89.51
Length87b,10,10.05,2.94,10.47,75.6,16.31,76.19
Length87c,1,8.28,4.41,9.38,58.45,28.05,62.49
Length87c,2,1.46,1.96,2.45,49.89,53.29,67.35
Length87c,3,3.52,1.47,3.82,28.35,22.66,35.7
Length87c,4,2.8,0,2.8,7.4,0,7.4
Length87c,5,9.43,4.9,10.63,72.93,27.47,74.9
Length87c,6,12.54,4.9,13.46,43.64,21.36,47.63
Length87c,7,1.12,0.49,1.23,73.11,23.58,74.56
Length87d,1,2.26,1.96,2.99,71.74,40.94,76.31
Length87d,2,4.42,1.47,4.65,59.4,18.42,61.12
Length87d,3,1.29,0.49,1.38,74.92,20.82,75.93
Length87d,4,5.27,5.39,7.54,16.2,45.65,47.83
Length87d,5,2.56,0,2.56,6.79,0,6.79
Length87d,6,1.95,0.49,2.01,38.73,14.1,40.83
Length87d,7,2.91,0.49,2.95,84.27,9.56,84.35
Length87d,8,1.92,0.49,1.99,73.93,14.29,74.44
Length87d,9,4.13,5.88,7.19,20.98,54.93,57.56
Length87e,1,7.92,3.92,8.83,74.04,26.35,75.74
Length87e,2,3.64,0.49,3.68,55.22,7.66,55.58
Length87e,3,2.44,1.47,2.85,51.27,31.08,57.6
Length87e,4,3.38,0.98,3.52,57.06,16.16,58.52
Length87e,5,3.03,0.98,3.18,83.63,17.95,83.94
Length87e,6,7.66,7.35,10.62,83.89,43.84,85.59
Length87e,7,6.19,8.33,10.38,37.65,53.41,61.83
Length87e,8,6.35,9.8,11.68,61.27,57.06,74.85
Length87f,1,2.29,1.47,2.72,66.31,32.67,70.23
Length87f,2,8.06,6.37,10.28,35.69,38.32,50.41
Length87f,3,3.53,4.9,6.04,8.06,54.21,54.61
Length87f,4,9.29,4.9,10.5,56.59,27.82,60.86
Length87f,5,5.78,5.88,8.24,23.05,45.52,49.85
Length88,1,1.47,1.47,2.08,39.79,45.07,57.13
Length88,2,2.6,1.96,3.25,82.04,37.05,83.65
Length88,3,2.79,4.9,5.64,0.5,60.35,60.35
Length88,4,8.79,3.92,9.62,13.11,24.04,27.2
Length89,1,7.32,5.88,9.39,52.22,38.79,61.47
Length89,2,6.11,3.43,7.01,44.72,29.31,51.71
Length89,3,3.8,2.94,4.81,86.47,37.72,87.21
Length89,4,2.94,3.92,4.9,58.47,53.18,71.74
Length89,5,5.04,4.41,6.7,83.59,41.2,85.18
Length89,6,6.93,5.88,9.09,50.56,40.31,61.02
Length89,7,1.02,0.98,1.41,69.68,43.9,75.51
Length89,8,2.98,1.96,3.57,2.67,33.35,33.44
Length89,9,3.68,3.92,5.38,1.52,46.82,46.84
Length89b,1,4.29,0.98,4.4,4.29,12.88,13.57
Length89b,2,5.04,4.41,6.7,84.37,41.19,85.77
Length89b,3,4.79,0.49,4.81,76.23,5.85,76.3
Length89b,4,8.55,4.41,9.62,29.78,27.3,39.54
Length89b,5,10.73,7.84,13.29,77.59,36.17,80.01
Length89b,6,3.81,2.94,4.81,30.36,37.7,46.94
Length89b,7,3.21,1.96,3.76,6.95,31.39,32.07
Length89b,8,9.34,4.41,10.33,45.78,25.27,50.9
Length89c,1,8.34,5.39,9.93,28.81,32.88,42.62
Length89d,1,8.41,4.41,9.49,24.18,27.69,36.12
Length89d,2,3.36,4.41,5.55,11.2,52.7,53.53
Length89d,3,3.12,5.88,6.66,1.64,62.03,62.04
Length89d,4,3.25,1.96,3.8,3.12,31.07,31.21
Length89d,5,5.59,1.47,5.78,32.01,14.74,34.91
Length89d,6,2.54,0.98,2.72,37.02,21.13,41.86
Length89d,7,2.47,1.47,2.88,46.11,30.76,53.44
Length89d,8,8.77,0,8.77,80.22,0,80.22
Length89d,9,2.59,8.33,8.73,72.78,72.72,84.95
Length90,1,2.68,0.98,2.86,57.24,20.06,59.45
Length90,2,4.69,1.96,5.09,10.09,22.68,24.71
Length90,3,6.79,2.45,7.22,15.73,19.86,25.14
Length90,4,3.12,0.98,3.27,33.81,17.45,37.57
Length90,5,4.3,3.92,5.82,53.14,42.38,63.7
Length92,1,4.2,1.31,4.39,61.09,17.3,62.51
Length92,2,3.58,1.47,3.87,46.36,22.33,50.33
Length92,3,5.69,1.14,5.81,9.83,11.36,14.98
Length92,4,2.51,3.92,4.66,52.98,57.36,71.05
Length92,5,3.81,1.47,4.08,27.44,21.12,34.12
Length92,6,4.43,5.39,6.98,75.13,50.62,80.63
Length92,7,6.35,5.39,8.33,50.47,40.32,60.97
Length92b,1,2.44,0.33,2.46,31.2,7.62,32.03
Length92b,2,3.3,3.92,5.12,35.66,49.96,58.49
Length92b,3,7.2,4.25,8.36,32.79,30.53,43.6
Length92b,4,5.8,9.31,10.97,55.91,58.07,72.75
Length92b,5,5.8,3.92,7,50.92,34.07,58.51
Length92b,6,2.28,1.8,2.91,48.89,38.2,58.89
Length92b,7,3.8,1.96,4.28,44.55,27.29,50.71
Length92c,1,6.91,2.45,7.33,52.21,19.54,54.73
Length92c,2,5.98,1.96,6.29,32.85,18.15,37.04
Length92c,3,12.51,3.92,13.11,19.57,17.4,25.96
Length92c,4,6.41,4.9,8.07,38.24,37.42,51.41
Length92c,5,1.77,0.49,1.84,85.53,15.49,85.7
Length92c,6,1.73,0,1.73,78.48,0,78.48
Length92c,7,5.63,1.96,5.96,42.95,19.19,46.27
Length92d,1,2.87,5.88,6.55,8.01,63.97,64.25
Length92d,2,2.25,0.49,2.3,63.58,12.31,64.23
Length92d,3,1.71,0.98,1.97,33.81,29.77,43.84
Length92d,4,9.29,2.94,9.74,58.84,17.57,60.44
Length93,1,1.93,2.45,3.12,45.41,51.74,64.23
Length93,2,6.06,2.94,6.74,19.48,25.89,31.99
Length93,3,3.74,1.47,4.02,56.63,21.46,59.21
Length93,4,2.33,4.9,5.43,88.61,64.6,89.4
Length93,5,2.98,0.49,3.02,33.47,9.35,34.61
Length93,6,2.76,5.39,6.06,79.41,62.89,85.2
Length93,7,5.94,4.41,7.4,88.77,36.58,89.01
Length93b,1,4.21,1.47,4.46,24.4,19.25,30.71
Length93b,2,5.66,6.37,8.52,49.41,48.4,64.41
Length93b,3,4.42,8.33,9.43,78.52,62.08,84.65
Length93b,4,2.56,1.47,2.95,76.32,29.91,78.17
Length93b,5,2.94,3.92,4.9,49.83,53.18,67.26
Length93b,6,2.02,0.49,2.08,18.44,13.64,22.8
Length93b,7,2.36,2.45,3.4,4.67,46.08,46.26
Length93b,8,5.41,0.98,5.49,65.38,10.28,65.8
Length94,1,7.98,6.21,10.11,20.78,37.88,42.44
Length94,2,6.12,6.86,9.2,76.64,48.26,81.15
Length94,3,2.35,0.49,2.4,50.24,11.78,51.24
Length94,4,3.82,4.9,6.21,55.66,52.09,69.72
Length94,5,11.42,8.33,14.14,54.98,36.12,62.38
Length94,6,5.2,5.39,7.49,36.16,46.06,55.93
Length95,1,2.84,3.92,4.84,62.82,54.06,74.45
Length95,2,4,3.43,5.27,69.38,40.61,74.49
Length95,3,2.67,3.43,4.34,89.64,52.16,89.78
Length95,4,1.23,0.49,1.33,48.17,21.66,51.7
Length95,5,3.83,2.45,4.55,81.35,32.59,82.72
Length95,6,2.58,0.98,2.76,13.91,20.83,24.88
Length96,1,1.88,1.47,2.39,24.05,37.98,43.97
Length96,2,1.92,1.47,2.42,22.24,37.49,42.74
Length96,3,2.34,0.49,2.39,51.13,11.82,52.1
Length96,4,2.55,1.47,2.95,39.05,29.93,47.7
Length96,5,11.32,4.9,12.34,39.6,23.41,45
Length96,6,6.88,2.94,7.48,14.02,23.16,26.87
Length96b,1,5.55,2.94,6.28,46.79,27.93,52.77
Length96b,2,3.4,1.47,3.7,0.06,23.42,23.42
Length96b,3,2.97,0,2.97,83.23,0,83.23
Length96b,4,6.54,1.47,6.7,7.5,12.68,14.7
Length98,1,6.73,2.45,7.16,85.77,20.02,86.03
Length98,2,8.3,8.82,12.11,53.14,46.77,65.74
Length98,3,3.41,0.98,3.55,74.45,16.05,75.07
Length98,4,4.92,0.98,5.02,78.55,11.26,78.78
Length99,1,1.51,0.49,1.59,68.45,17.95,69.55
Length99,2,1.4,0.98,1.71,35.49,35.06,48.2
Length99,3,7.5,1.96,7.75,90,14.66,90
Length99,4,7.72,6.37,10.01,70.23,39.52,74.87
Length99,5,9.76,2.45,10.06,2.6,14.1,14.33
Length100,1,3.17,1.47,3.49,51.24,24.92,55.4
Length100,2,4.82,0.98,4.92,58.41,11.5,59.11
Length100,3,5.42,5.39,7.65,3.31,44.85,44.95
Length102,1,5.14,2.94,5.92,15.72,29.8,33.35
Length102,2,3.8,0.98,3.92,19.81,14.47,24.36
Length102,3,9.07,1.47,9.19,42.76,9.21,43.55
Length102,4,7.11,4.9,8.63,8.99,34.59,35.6
Length103,1,2.87,0.82,2.98,39.83,15.89,42.38
Length103,2,5.81,7.19,9.24,85,51.08,86.86
Length103,3,7.2,7.35,10.29,6.03,45.62,45.93
Length103,4,8.13,7.84,11.3,10.44,43.97,44.94
Length103,5,3.67,4.9,6.12,24.1,53.19,56.84
Length103,6,8.38,1.47,8.51,60.71,9.95,61.19
Length103,7,12.99,9.31,15.99,52.75,35.64,60.53
Length103,8,1.16,1.96,2.28,57.84,59.46,74.31
Length103b,1,5.05,1.96,5.42,44.4,21.22,48.24
Length103b,2,6.94,4.9,8.5,65.78,35.22,70.42
