UM10-10 Brogo Granodiorite Apatite 3D Semi-Track Lengths ,,,,,,,,,
,,,,,,,,,
Grain Name,Length Number,Apparent Length,Corr.  Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C,Dper
Grain02,29,1.27,2.94,3.2,27.14,66.68,1.13,69.32,0.619
Grain02,30,1.61,4.41,4.7,20.49,69.9,1.51,71.28,0.619
Grain02,31,0.64,0.98,1.17,8.92,57.03,0.63,57.29,0.619
Grain02,32,0.37,0.49,0.62,71.33,52.85,0.12,78.99,0.619
Grain02,33,0.07,0,0.07,40.48,0,0.05,40.48,0.619
Grain02,34,1.24,0.49,1.34,46.34,21.51,0.86,50.29,0.619
Grain02,35,0.9,0.49,1.02,17.05,28.59,0.86,32.48,0.619
Grain02,36,8.9,3.92,9.73,42.25,23.77,6.59,47.38,0.619
Grain02,37,3.12,1.96,3.68,31.49,32.15,2.66,43.70,0.619
Grain02,38,0.91,0,0.91,40.78,0,0.69,40.78,0.619
Grain02,39,7.87,2.94,8.4,16.16,20.49,7.56,25.86,0.619
Grain02,40,2,0,2,3.13,0,2.00,3.13,0.619
Grain02,41,1.89,0.49,1.96,29.98,14.51,1.64,33.36,0.619
Grain02,42,1.68,1.47,2.23,59.65,41.2,0.85,67.63,0.619
Grain02,43,1.18,5.88,6,56.23,78.65,0.66,83.72,0.619
Grain02,44,2.79,1.96,3.41,20.25,35.07,2.62,39.86,0.619
Grain02,45,4.08,1.47,4.33,64.44,19.84,1.76,66.01,0.619
Grain02,46,9.43,3.92,10.21,78.94,22.59,1.81,79.79,0.619
Grain02,47,1.51,0.49,1.58,33.58,18.02,1.26,37.23,0.619
Grain02,48,0.68,1.47,1.62,64.44,65.21,0.29,79.57,0.619
Grain03,1,3.85,1.96,4.32,76.8,27,0.88,78.26,0.546
Grain03,2,2.29,2.94,3.73,48.89,52.06,1.51,66.19,0.546
Grain03,3,5.6,5.88,8.12,24.2,46.42,5.11,51.02,0.546
Grain03,4,5.11,5.88,7.79,30.05,49.03,4.42,55.40,0.546
Grain03,5,7.74,4.41,8.91,45.36,29.67,5.44,52.38,0.546
Grain03,6,0.39,0.98,1.06,72.73,68.3,0.12,83.73,0.546
Grain03,7,7.49,3.92,8.45,22.13,27.64,6.94,34.81,0.546
Grain03,8,4.38,0.98,4.49,55.03,12.62,2.51,56.01,0.546
Grain03,9,1.9,1.96,2.73,15.8,45.86,1.83,47.96,0.546
Grain03,10,2.84,10.29,10.68,68.79,74.6,1.03,84.48,0.546
Grain03,11,1.56,0.49,1.64,17.27,17.44,1.49,24.72,0.546
Grain03,12,4.43,3.43,5.6,32.2,37.77,3.75,47.98,0.546
Grain03,13,6.47,4.41,7.83,11.21,34.27,6.35,35.85,0.546
Grain03,14,3.07,3.92,4.98,16.36,51.92,2.95,53.74,0.546
Grain03,15,6.22,3.92,7.35,22.22,32.24,5.76,38.43,0.546
Grain03,16,1.36,3.43,3.69,3.77,68.4,1.36,68.42,0.546
Grain03,17,3.38,5.39,6.37,78.86,57.9,0.65,84.12,0.546
Grain03,18,9.65,3.92,10.41,45.65,22.12,6.75,49.61,0.546
Grain03,19,1.59,3.92,4.23,64.76,67.96,0.68,80.78,0.546
Grain03,20,3.56,4.41,5.67,47.69,51.07,2.40,65.00,0.546
Grain03,21,2.6,1.96,3.26,30.26,36.99,2.25,46.46,0.546
Grain03,22,2.46,9.31,9.63,50.96,75.19,1.55,80.74,0.546
Grain03,23,5.78,7.35,9.36,58.58,51.81,3.01,71.22,0.546
Grain03,24,4.14,9.31,10.19,59.41,66.02,2.11,78.07,0.546
Grain03,25,7.84,4.41,8.99,33.79,29.37,6.52,43.55,0.546
Grain03,26,1.71,1.47,2.26,67.83,40.64,0.65,73.41,0.546
Grain03,27,6.46,6.86,9.43,67.54,46.71,2.47,74.83,0.546
Grain03,28,0.21,0.98,1,27.73,78.08,0.19,79.29,0.546
Grain03,29,2.22,0.98,2.43,1.96,23.82,2.22,24.07,0.546
Grain03,30,4.1,0.98,4.22,87.11,13.43,0.21,87.19,0.546
Grain03,31,6.08,1.47,6.25,49.81,13.61,3.92,51.11,0.546
Grain03,32,0.72,0.98,1.22,11.03,53.7,0.71,54.60,0.546
Grain03,33,4.45,1.47,4.69,21.67,18.28,4.14,28.14,0.546
Grain03,34,1.21,0.98,1.55,31.3,39.09,1.03,48.16,0.546
Grain03,35,4.37,9.31,10.29,67.71,64.89,1.66,80.73,0.546
Grain03,36,1.38,1.47,2.02,59.41,46.79,0.70,69.66,0.546
Grain03,37,0.91,0.49,1.03,53.52,28.38,0.54,58.31,0.546
Grain03,38,2.42,0.49,2.47,57.37,11.44,1.30,58.11,0.546
Grain03,39,1.82,0.98,2.07,32.79,28.28,1.53,42.34,0.546
Grain03,40,8.51,8.33,11.91,80.3,44.39,1.43,83.09,0.546
Grain03,41,1.61,1.47,2.18,47.71,42.33,1.08,60.20,0.546
Grain03,42,4.67,1.96,5.06,28.11,22.78,4.12,35.51,0.546
Grain03,43,4.65,2.45,5.26,50.29,27.77,2.97,55.61,0.546
Grain03,44,5.45,1.96,5.79,29.18,19.78,4.76,34.73,0.546
Grain03,45,4.04,3.92,5.63,79.16,44.17,0.76,82.24,0.546
Grain03,46,1.55,1.96,2.5,29.99,51.67,1.34,57.52,0.546
Grain03,47,3.93,1.47,4.2,24.39,20.5,3.58,31.55,0.546
Grain03,48,0.53,0.49,0.72,39.07,43.02,0.41,55.15,0.546
Grain03,49,6.04,2.94,6.72,68.83,25.96,2.18,71.06,0.546
Grain03,50,2.22,0.98,2.42,33.09,23.86,1.86,39.77,0.546
Grain03,51,0.15,1.47,1.48,88.83,84.01,0.00,89.88,0.546
Grain03,52,2.07,7.35,7.64,2.25,74.27,2.07,74.29,0.546
Grain03,53,2.81,1.96,3.43,3.05,34.92,2.81,35.11,0.546
Grain03,54,5.6,2.45,6.11,2.63,23.65,5.59,23.71,0.546
Grain03,55,5.79,4.9,7.59,42.93,40.25,4.24,56.04,0.546
Grain03,56,7.08,5.39,8.9,15.29,37.31,6.83,39.88,0.546
Grain03,57,1.71,0.98,1.97,41.77,29.88,1.28,49.65,0.546
Grain03,58,1.71,0.98,1.97,67.83,29.78,0.65,70.88,0.546
Grain03,59,6.06,3.92,7.22,15.91,32.91,5.83,36.18,0.546
Grain03,60,4.4,1.47,4.64,76.55,18.48,1.02,77.26,0.546
Grain03,61,0.53,0.98,1.11,50.93,61.82,0.33,72.49,0.546
Grain03,62,9.12,5.88,10.85,39.58,32.82,7.03,49.62,0.546
Grain03,63,2.55,2.45,3.54,29.28,43.83,2.22,51.07,0.546
Grain03,64,4.38,1.47,4.62,51.88,18.54,2.70,54.18,0.546
Grain03,65,4.72,1.47,4.94,21.85,17.32,4.38,27.52,0.546
Grain03,66,0.74,0.49,0.89,84.07,33.42,0.08,85.07,0.546
Grain03,67,0.64,0.98,1.17,49.74,57.03,0.41,69.30,0.546
Grain03,68,6.52,5.39,8.46,75.72,39.57,1.61,79.04,0.546
Grain03,69,4.69,2.94,5.54,13.69,32.08,4.56,34.66,0.546
Grain03,70,3.83,3.43,5.14,38.93,41.85,2.98,54.57,0.546
Grain03,71,7.79,4.41,8.95,85.2,29.53,0.65,85.82,0.546
Grain03,72,2.76,5.39,6.06,27.73,62.9,2.44,66.23,0.546
Grain03,73,0.87,1.96,2.15,43.83,66.01,0.63,73.03,0.546
Grain03,74,1.44,1.96,2.43,78.97,53.7,0.28,83.49,0.546
Grain03,75,8.92,3.92,9.74,3.99,23.73,8.90,23.99,0.546
Grain03,76,0.29,1.96,1.98,17.27,81.51,0.28,81.96,0.546
Grain03,77,0.78,0.49,0.92,17.27,32.13,0.74,35.94,0.546
Grain03,78,4.82,0.98,4.92,45.65,11.49,3.37,46.78,0.546
Grain03,79,2.16,1.47,2.62,5.25,34.19,2.15,34.82,0.546
Grain03,80,0.96,2.45,2.63,83.31,68.6,0.11,87.56,0.546
Grain03,81,4.53,3.92,5.99,24.7,40.91,4.12,46.60,0.546
Grain03,82,4.43,3.92,5.91,45.88,41.53,3.08,58.55,0.546
Grain04,1,0.84,0.98,1.29,28.34,49.44,0.74,55.03,0.612
Grain04,2,6.37,1.47,6.54,73.55,12.99,1.80,73.99,0.612
Grain04,3,4.86,7.35,8.82,70.38,56.51,1.63,79.34,0.612
Grain04,4,0.76,0.98,1.24,57.4,52.15,0.41,70.72,0.612
Grain04,5,0.44,1.47,1.53,70.64,73.48,0.15,84.53,0.612
Grain04,6,1.33,1.96,2.37,28.83,55.92,1.17,60.55,0.612
Grain04,7,1.88,0.49,1.95,80.64,14.59,0.31,80.98,0.612
